pathway	pathway_rn	pathway_label	kegg_reaction_id	present_model_count	absent_model_count	frequency_percent	status	model_reaction_ids_observed	present_models	absent_models
map00010	rn00010	Glycolysis / gluconeogenesis	R00014	87	0	100.0	core	ACLSa	STM_v1_0|iAF1260|iAF1260b|iAF692|iAF987|iAPECO1_1312|iB21_1397|iBWG_1329|iCN718|iCN900|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEK1008|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iHN637|iIT341|iJB785|iJN1463|iJN678|iJN746|iJO1366|iJR904|iLF82_1304|iLJ478|iML1515|iNF517|iNJ661|iNRG857_1313|iPC815|iSB619|iSBO_1134|iSDY_1059|iSFV_1184|iSF_1195|iSFxv_1172|iSSON_1240|iS_1188|iSbBS512_1146|iSynCJ816|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iYL1228|iYO844|iYS1720|iYS854|iZ_1308|ic_1306	
map00010	rn00010	Glycolysis / gluconeogenesis	R00199	87	0	100.0	core	PPS	STM_v1_0|iAF1260|iAF1260b|iAF692|iAF987|iAPECO1_1312|iB21_1397|iBWG_1329|iCN718|iCN900|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEK1008|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iHN637|iIT341|iJB785|iJN1463|iJN678|iJN746|iJO1366|iJR904|iLF82_1304|iLJ478|iML1515|iNF517|iNJ661|iNRG857_1313|iPC815|iSB619|iSBO_1134|iSDY_1059|iSFV_1184|iSF_1195|iSFxv_1172|iSSON_1240|iS_1188|iSbBS512_1146|iSynCJ816|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iYL1228|iYO844|iYS1720|iYS854|iZ_1308|ic_1306	
map00010	rn00010	Glycolysis / gluconeogenesis	R00200	85	2	97.7	variable	PYK	STM_v1_0|iAF1260|iAF1260b|iAF692|iAF987|iAPECO1_1312|iB21_1397|iBWG_1329|iCN900|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEK1008|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iHN637|iJB785|iJN1463|iJN678|iJN746|iJO1366|iJR904|iLF82_1304|iLJ478|iML1515|iNF517|iNJ661|iNRG857_1313|iPC815|iSB619|iSBO_1134|iSDY_1059|iSFV_1184|iSF_1195|iSFxv_1172|iSSON_1240|iS_1188|iSbBS512_1146|iSynCJ816|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iYL1228|iYO844|iYS1720|iYS854|iZ_1308|ic_1306	iCN718|iIT341
map00010	rn00010	Glycolysis / gluconeogenesis	R00206	7	80	8.05	variable	PPDK	iAF692|iAF987|iCN900|iEK1008|iHN637|iLJ478|iNJ661	STM_v1_0|iAF1260|iAF1260b|iAPECO1_1312|iB21_1397|iBWG_1329|iCN718|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iIT341|iJB785|iJN1463|iJN678|iJN746|iJO1366|iJR904|iLF82_1304|iML1515|iNF517|iNRG857_1313|iPC815|iSB619|iSBO_1134|iSDY_1059|iSFV_1184|iSF_1195|iSFxv_1172|iSSON_1240|iS_1188|iSbBS512_1146|iSynCJ816|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iYL1228|iYO844|iYS1720|iYS854|iZ_1308|ic_1306
map00010	rn00010	Glycolysis / gluconeogenesis	R00229	63	24	72.41	variable	ACCOAL	STM_v1_0|iAF1260|iAF1260b|iAF692|iAPECO1_1312|iB21_1397|iBWG_1329|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iJO1366|iJR904|iLF82_1304|iML1515|iNRG857_1313|iSFV_1184|iSSON_1240|iSbBS512_1146|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iYS1720|iZ_1308|ic_1306	iAF987|iCN718|iCN900|iEK1008|iHN637|iIT341|iJB785|iJN1463|iJN678|iJN746|iLJ478|iNF517|iNJ661|iPC815|iSB619|iSBO_1134|iSDY_1059|iSF_1195|iSFxv_1172|iS_1188|iSynCJ816|iYL1228|iYO844|iYS854
map00010	rn00010	Glycolysis / gluconeogenesis	R00235	79	8	90.8	variable	ACS|ACS_1	STM_v1_0|iAF1260|iAF1260b|iAF692|iAF987|iAPECO1_1312|iB21_1397|iBWG_1329|iCN718|iCN900|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEK1008|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iIT341|iJB785|iJN1463|iJN678|iJN746|iJO1366|iJR904|iLF82_1304|iML1515|iNJ661|iNRG857_1313|iPC815|iSB619|iSFV_1184|iSSON_1240|iSbBS512_1146|iSynCJ816|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iYL1228|iYO844|iYS1720|iYS854|iZ_1308|ic_1306	iHN637|iLJ478|iNF517|iSBO_1134|iSDY_1059|iSF_1195|iSFxv_1172|iS_1188
map00010	rn00010	Glycolysis / gluconeogenesis	R00341	77	10	88.51	variable	PPCK	STM_v1_0|iAF1260|iAF1260b|iAF987|iAPECO1_1312|iB21_1397|iBWG_1329|iCN900|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iHN637|iJN1463|iJO1366|iJR904|iLF82_1304|iML1515|iNJ661|iNRG857_1313|iPC815|iSB619|iSBO_1134|iSDY_1059|iSFV_1184|iSF_1195|iSFxv_1172|iSSON_1240|iS_1188|iSbBS512_1146|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iYL1228|iYO844|iYS1720|iYS854|iZ_1308|ic_1306	iAF692|iCN718|iEK1008|iIT341|iJB785|iJN678|iJN746|iLJ478|iNF517|iSynCJ816
map00010	rn00010	Glycolysis / gluconeogenesis	R00431	79	8	90.8	variable	PEPCK_re	STM_v1_0|iAF1260|iAF1260b|iAF987|iAPECO1_1312|iB21_1397|iBWG_1329|iCN718|iCN900|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEK1008|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iHN637|iJN1463|iJO1366|iJR904|iLF82_1304|iML1515|iNJ661|iNRG857_1313|iPC815|iSB619|iSBO_1134|iSDY_1059|iSFV_1184|iSF_1195|iSFxv_1172|iSSON_1240|iS_1188|iSbBS512_1146|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iYL1228|iYO844|iYS1720|iYS854|iZ_1308|ic_1306	iAF692|iIT341|iJB785|iJN678|iJN746|iLJ478|iNF517|iSynCJ816
map00010	rn00010	Glycolysis / gluconeogenesis	R00658	87	0	100.0	core	ENO	STM_v1_0|iAF1260|iAF1260b|iAF692|iAF987|iAPECO1_1312|iB21_1397|iBWG_1329|iCN718|iCN900|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEK1008|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iHN637|iIT341|iJB785|iJN1463|iJN678|iJN746|iJO1366|iJR904|iLF82_1304|iLJ478|iML1515|iNF517|iNJ661|iNRG857_1313|iPC815|iSB619|iSBO_1134|iSDY_1059|iSFV_1184|iSF_1195|iSFxv_1172|iSSON_1240|iS_1188|iSbBS512_1146|iSynCJ816|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iYL1228|iYO844|iYS1720|iYS854|iZ_1308|ic_1306	
map00010	rn00010	Glycolysis / gluconeogenesis	R00703	86	1	98.85	variable	LDH_L	STM_v1_0|iAF1260|iAF1260b|iAF692|iAF987|iAPECO1_1312|iB21_1397|iBWG_1329|iCN718|iCN900|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEK1008|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iHN637|iJB785|iJN1463|iJN678|iJN746|iJO1366|iJR904|iLF82_1304|iLJ478|iML1515|iNF517|iNJ661|iNRG857_1313|iPC815|iSB619|iSBO_1134|iSDY_1059|iSFV_1184|iSF_1195|iSFxv_1172|iSSON_1240|iS_1188|iSbBS512_1146|iSynCJ816|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iYL1228|iYO844|iYS1720|iYS854|iZ_1308|ic_1306	iIT341
map00010	rn00010	Glycolysis / gluconeogenesis	R00710	86	1	98.85	variable	ALDD2x	STM_v1_0|iAF1260|iAF1260b|iAF692|iAF987|iAPECO1_1312|iB21_1397|iBWG_1329|iCN718|iCN900|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEK1008|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iHN637|iIT341|iJB785|iJN1463|iJN678|iJN746|iJO1366|iJR904|iLF82_1304|iML1515|iNF517|iNJ661|iNRG857_1313|iPC815|iSB619|iSBO_1134|iSDY_1059|iSFV_1184|iSF_1195|iSFxv_1172|iSSON_1240|iS_1188|iSbBS512_1146|iSynCJ816|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iYL1228|iYO844|iYS1720|iYS854|iZ_1308|ic_1306	iLJ478
map00010	rn00010	Glycolysis / gluconeogenesis	R00711	85	2	97.7	variable	ALDD2y	STM_v1_0|iAF1260|iAF1260b|iAF692|iAF987|iAPECO1_1312|iB21_1397|iBWG_1329|iCN718|iCN900|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEK1008|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iHN637|iIT341|iJB785|iJN1463|iJN678|iJN746|iJO1366|iJR904|iLF82_1304|iML1515|iNJ661|iNRG857_1313|iPC815|iSB619|iSBO_1134|iSDY_1059|iSFV_1184|iSF_1195|iSFxv_1172|iSSON_1240|iS_1188|iSbBS512_1146|iSynCJ816|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iYL1228|iYO844|iYS1720|iYS854|iZ_1308|ic_1306	iLJ478|iNF517
map00010	rn00010	Glycolysis / gluconeogenesis	R00726	79	8	90.8	variable	ITPOXAL	STM_v1_0|iAF1260|iAF1260b|iAF987|iAPECO1_1312|iB21_1397|iBWG_1329|iCN718|iCN900|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEK1008|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iHN637|iJN1463|iJO1366|iJR904|iLF82_1304|iML1515|iNJ661|iNRG857_1313|iPC815|iSB619|iSBO_1134|iSDY_1059|iSFV_1184|iSF_1195|iSFxv_1172|iSSON_1240|iS_1188|iSbBS512_1146|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iYL1228|iYO844|iYS1720|iYS854|iZ_1308|ic_1306	iAF692|iIT341|iJB785|iJN678|iJN746|iLJ478|iNF517|iSynCJ816
map00010	rn00010	Glycolysis / gluconeogenesis	R00746	87	0	100.0	core	ALCD2y	STM_v1_0|iAF1260|iAF1260b|iAF692|iAF987|iAPECO1_1312|iB21_1397|iBWG_1329|iCN718|iCN900|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEK1008|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iHN637|iIT341|iJB785|iJN1463|iJN678|iJN746|iJO1366|iJR904|iLF82_1304|iLJ478|iML1515|iNF517|iNJ661|iNRG857_1313|iPC815|iSB619|iSBO_1134|iSDY_1059|iSFV_1184|iSF_1195|iSFxv_1172|iSSON_1240|iS_1188|iSbBS512_1146|iSynCJ816|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iYL1228|iYO844|iYS1720|iYS854|iZ_1308|ic_1306	
map00010	rn00010	Glycolysis / gluconeogenesis	R00754	85	2	97.7	variable	ALCD2ir|ALCD2x	STM_v1_0|iAF1260|iAF1260b|iAF692|iAF987|iAPECO1_1312|iB21_1397|iBWG_1329|iCN718|iCN900|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEK1008|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iHN637|iIT341|iJB785|iJN1463|iJN678|iJN746|iJO1366|iLF82_1304|iML1515|iNF517|iNJ661|iNRG857_1313|iPC815|iSB619|iSBO_1134|iSDY_1059|iSFV_1184|iSF_1195|iSFxv_1172|iSSON_1240|iS_1188|iSbBS512_1146|iSynCJ816|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iYL1228|iYO844|iYS1720|iYS854|iZ_1308|ic_1306	iJR904|iLJ478
map00010	rn00010	Glycolysis / gluconeogenesis	R00755	9	78	10.34	variable	PDC	iAF692|iCN718|iEC1344_C|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEK1008|iIT341|iNJ661	STM_v1_0|iAF1260|iAF1260b|iAF987|iAPECO1_1312|iB21_1397|iBWG_1329|iCN900|iE2348C_1286|iEC042_1314|iEC1349_Crooks|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iHN637|iJB785|iJN1463|iJN678|iJN746|iJO1366|iJR904|iLF82_1304|iLJ478|iML1515|iNF517|iNRG857_1313|iPC815|iSB619|iSBO_1134|iSDY_1059|iSFV_1184|iSF_1195|iSFxv_1172|iSSON_1240|iS_1188|iSbBS512_1146|iSynCJ816|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iYL1228|iYO844|iYS1720|iYS854|iZ_1308|ic_1306
map00010	rn00010	Glycolysis / gluconeogenesis	R00756	82	5	94.25	variable	PFK	STM_v1_0|iAF1260|iAF1260b|iAF987|iAPECO1_1312|iB21_1397|iBWG_1329|iCN900|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEK1008|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iHN637|iJB785|iJN678|iJO1366|iJR904|iLF82_1304|iLJ478|iML1515|iNF517|iNJ661|iNRG857_1313|iPC815|iSB619|iSBO_1134|iSDY_1059|iSFV_1184|iSF_1195|iSFxv_1172|iSSON_1240|iS_1188|iSbBS512_1146|iSynCJ816|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iYL1228|iYO844|iYS1720|iYS854|iZ_1308|ic_1306	iAF692|iCN718|iIT341|iJN1463|iJN746
map00010	rn00010	Glycolysis / gluconeogenesis	R00762	87	0	100.0	core	FBP	STM_v1_0|iAF1260|iAF1260b|iAF692|iAF987|iAPECO1_1312|iB21_1397|iBWG_1329|iCN718|iCN900|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEK1008|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iHN637|iIT341|iJB785|iJN1463|iJN678|iJN746|iJO1366|iJR904|iLF82_1304|iLJ478|iML1515|iNF517|iNJ661|iNRG857_1313|iPC815|iSB619|iSBO_1134|iSDY_1059|iSFV_1184|iSF_1195|iSFxv_1172|iSSON_1240|iS_1188|iSbBS512_1146|iSynCJ816|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iYL1228|iYO844|iYS1720|iYS854|iZ_1308|ic_1306	
map00010	rn00010	Glycolysis / gluconeogenesis	R00764	1	86	1.15	variable	PFK_ppi	iLJ478	STM_v1_0|iAF1260|iAF1260b|iAF692|iAF987|iAPECO1_1312|iB21_1397|iBWG_1329|iCN718|iCN900|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEK1008|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iHN637|iIT341|iJB785|iJN1463|iJN678|iJN746|iJO1366|iJR904|iLF82_1304|iML1515|iNF517|iNJ661|iNRG857_1313|iPC815|iSB619|iSBO_1134|iSDY_1059|iSFV_1184|iSF_1195|iSFxv_1172|iSSON_1240|iS_1188|iSbBS512_1146|iSynCJ816|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iYL1228|iYO844|iYS1720|iYS854|iZ_1308|ic_1306
